uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
462f5bf8-92d3-4aca-aa8f-c9fd65fe147a,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00781,,,,,NEON.DOC.000987vE,,CELA,Celtis laevigata Willd.,Celtis,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
6bf59017-7dcb-4d5e-a263-8e63685dc4f8,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00783,,,,,NEON.DOC.000987vE,,CELA,Celtis laevigata Willd.,Celtis,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
da522d8c-1c9b-4393-b432-a2539a746fc6,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,49,4.9,130.5,,NEON.PLA.D11.CLBJ.00274,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
9c80eda3-7418-4b27-b950-9b1d1e9d6cfb,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00106,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
04dc6cd3-9f89-4931-86d5-ceb6c64d7d1d,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00108,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
8e5cc27a-6d8f-4c7e-b4aa-c9825df0aaa0,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00116,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
d4976021-70ac-475f-a663-58d9b0dfad3a,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,49,9,168.1,,NEON.PLA.D11.CLBJ.00275,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
1bff7d64-704a-46ba-9d28-509cd262cac1,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00260,,,,,NEON.DOC.000987vE,,TORA2,Toxicodendron radicans (L.) Kuntze,Toxicodendron,Anacardiaceae,species,,,,,,jbagley@field-ops.org,mbray@field-ops.org,
63dd428c-8b21-43f6-961d-5cb47d8742fd,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,41,3.7,282.8,,NEON.PLA.D11.CLBJ.00277,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
6bfa431e-1f6b-4935-8285-d29f432c088e,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00113,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
e506eea1-f5f1-4c5f-b40b-1006b8ad40ee,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00107,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
dfe2acc6-e298-4b53-9c05-1388b000138a,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00266,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
f99694c8-84d7-447e-b9d7-c7ce5bdc50e8,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00258,,,,,NEON.DOC.000987vE,,TORA2,Toxicodendron radicans (L.) Kuntze,Toxicodendron,Anacardiaceae,species,,,,,,jbagley@field-ops.org,mbray@field-ops.org,
f4ac3dcd-783a-46ec-8aff-fea7a31110b1,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00268,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
120dab80-c2eb-4c61-8418-ea3549f1f72f,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00120,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
062cd2ca-4381-4aac-bb9b-4c6927af33bb,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00263,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
0dab62d1-a7a4-4090-b1ed-bd82ad0432c4,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,51,5.9,266.7,,NEON.PLA.D11.CLBJ.00122,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
55b86691-2b65-450b-904d-0967cb43b936,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00112,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
6933e918-f486-4a65-b6b7-27ee0fd661c5,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00118,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
53208d38-d294-4586-bac6-2b01b915168d,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00101,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
02fd3661-56b4-4326-96bf-881d09b77197,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00110,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
decb73b7-41e4-4f04-bb75-f8681fbfc091,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00117,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
c5e65706-a3e9-4735-b399-2f1dcf45ec17,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00267,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
235ecd48-68da-494c-aea4-816b70fd9aaa,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,49,5.4,129,,NEON.PLA.D11.CLBJ.00276,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
00be981c-fe69-4723-a5c6-0868065d5578,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00265,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
b6773cbd-2666-40c8-8053-932133760aee,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00104,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
e63e4198-3e80-486c-8e30-a18eaf6163c8,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,41,1.9,313.9,,NEON.PLA.D11.CLBJ.00124,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
c59c1b29-cdc7-4b3b-97e8-400d331cf0eb,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00103,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
0ddf0b6b-1646-43b5-820f-f5d0c7388b30,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00109,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
7a2e9208-c74e-4f50-b725-4a0da37e5d64,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,51,8.3,256.9,,NEON.PLA.D11.CLBJ.00123,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
41371eb9-33e5-4181-ad4b-ebc1875eeca9,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00264,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
92f26395-b914-4605-b476-79592fb7a36b,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00259,NEON.PLA.D11.CLBJ.00261,,,,NEON.DOC.000987vE,,TORA2,Toxicodendron radicans (L.) Kuntze,Toxicodendron,Anacardiaceae,species,,,,,,jbagley@field-ops.org,mbray@field-ops.org,
e9ee4cce-7cd2-4a18-8585-fdbe1de39151,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00262,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
ae33011f-40de-40eb-81ee-4ec0045b69ac,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00111,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
1fa6a454-3900-44a9-a675-e58a04c77c87,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00114,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
994b98a8-c6d9-4996-9335-a3c17b99e5ed,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00105,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
193744bf-8ca9-4a58-bc43-d7eef855f8a8,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00119,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
5d5e8bd4-cf8c-4539-adc8-147050b65925,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,49,3.8,172.3,,NEON.PLA.D11.CLBJ.00279,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
90eaee59-69c8-44fe-82e9-1e6cccb3604e,CLBJ_004.basePlot.vst,3/15/2015,vst_CLBJ_2015,D11,CLBJ,CLBJ_004,,,,,NEON.PLA.D11.CLBJ.00102,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,cf. species,,jbagley@field-ops.org,mbray@field-ops.org,
42f63011-c12c-4813-b3b1-8c8215e17f1a,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,41,2.6,257.7,,NEON.PLA.D11.CLBJ.00059,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,nstanton@neoninc.org,cwhiting@field-ops.org,
755c57d9-76fc-45a6-a0be-da638c127cd0,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,41,7.7,266.7,,NEON.PLA.D11.CLBJ.00063,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,jthomas@field-ops.org,srubin@neoninc.org,
e56711ba-9937-43b4-bcd1-1c1b0e867484,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00077,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,srubin@neoninc.org,jthomas@field-ops.org,
2c17eff8-48de-4666-8c6b-dba3083aa4f9,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00065,,,,,NEON.DOC.000987vE,,2PLANT,Unknown plant,,,kingdom,,,,,,srubin@neoninc.org,jthomas@field-ops.org,
daf1a99e-fc50-49b0-89d4-afe61f37e3eb,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00062,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,srubin@neoninc.org,jthomas@field-ops.org,
69c866e0-5319-4ad3-8fa5-d81a5bfed14c,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00085,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,nstanton@neoninc.org,cwhiting@field-ops.org,
ab733bcf-fbdb-4b68-a92e-485fe53efd6c,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00071,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,cwhiting@field-ops.org,nstanton@neoninc.org,
413c319d-260f-4294-bcbf-86dc81008ac9,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00072,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,jthomas@field-ops.org,srubin@neoninc.org,
35fb7b5b-5bea-4afd-9953-65e18e57800e,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00076,,,,,NEON.DOC.000987vE,,2PLANT,Unknown plant,,,kingdom,,,,,,srubin@neoninc.org,jthomas@field-ops.org,
b0829a67-6f7a-4bc4-b421-b948dcdb957f,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,49,5.7,123.4,,NEON.PLA.D11.CLBJ.00089,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,nstanton@neoninc.org,cwhiting@field-ops.org,
ef492eb6-84de-43be-a31d-f8c191e63485,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00039,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,cwhiting@field-ops.org,nstanton@neoninc.org,
0cae9855-5a44-4aae-a012-4da7248730d2,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00082,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,srubin@neoninc.org,jthomas@field-ops.org,
a6b86f46-f87f-4a77-8a33-522179900373,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00041,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,cwhiting@field-ops.org,nstanton@neoninc.org,
fb2d1527-8906-4851-9d06-d4c86595f33f,CLBJ_022.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_022,,,,,NEON.PLA.D11.CLBJ.00051,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,nstanton@neoninc.org,cwhiting@field-ops.org,
8fb0486f-0d1d-4163-a764-6f13066828d6,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00073,,,,,NEON.DOC.000987vE,,QUMA3,Quercus marilandica Münchh.,Quercus,Fagaceae,species,,,,,,jthomas@field-ops.org,srubin@neoninc.org,
ab3c914f-f967-42b9-ba29-05295bdd7ae5,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00024,,,,,NEON.DOC.000987vE,,FRCA13,Frangula caroliniana (Walter) A. Gray,Frangula,Rhamnaceae,species,,,,,,cwhiting@field-ops.org,nstanton@neoninc.org,
d6ce4028-5dd0-4d1d-8f98-95cede17f21e,CLBJ_018.basePlot.vst,2/9/2016,vst_CLBJ_2016,D11,CLBJ,CLBJ_018,,,,,NEON.PLA.D11.CLBJ.00080,,,,,NEON.DOC.000987vE,,JUVI,Juniperus virginiana L.,Juniperus,Cupressaceae,species,,,,,,jthomas@field-ops.org,srubin@neoninc.org,
